stop_id;stop_name;latitude;longitude
SAMB ;Avenida dos Ferroviários (Sambódromo);-22,42518298;-45,45947869
BR459.1 ;Trevo Ponte da Imbel 1;-22,44271815;-45,43159573
BR459.2 ;Trevo Ponte da Imbel 2;-22,44290196;-45,43149047
PLC2681 ;Avenida Padre Lourenço da Costa, 2681;-22,44126133;-45,43411857
PLC2646 ;Avenida Padre Lourenço da Costa, 2646;-22,44117989;-45,43443911
PLC2436 ;Avenida Padre Lourenço da Costa, 2436;-22,43958219;-45,43578523
PLC2459 ;Avenida Padre Lourenço da Costa, 2459;-22,43979418;-45,43551383
PLC2245 ;Avenida Padre Lourenço da Costa, 2245;-22,43827751;-45,43669826
PLC1951 ;Avenida Padre Lourenço da Costa, 1951;-22,43566272;-45,43782081
PLC1942 ;Avenida Padre Lourenço da Costa, 1942;-22,4355963;-45,43796407
PLC1503 ;Avenida Padre Lourenço da Costa, 1503;-22,43253028;-45,44041907
PLC1460 ;Avenida Padre Lourenço da Costa, 1460;-22,43248728;-45,44062313
PLC1323 ;Avenida Padre Lourenço da Costa, 1323;-22,4317159;-45,44157333
PLC1316 ;Avenida Padre Lourenço da Costa, 1316;-22,43175839;-45,44166135
PLC1075 ;Avenida Padre Lourenço da Costa, 1075;-22,43035974;-45,44357429
PLC1072 ;Avenida Padre Lourenço da Costa, 1072;-22,43041108;-45,44365315
PLC767 ;Avenida Padre Lourenço da Costa, 767;-22,42998226;-45,44598201
PLC670 ;Avenida Padre Lourenço da Costa, 670;-22,43059578;-45,44707333
ASALO47 ;Rua Antônio Salomon, 47;-22,42862968;-45,45352219
VSANC231 ;Avenida Dr. Vicente Sanches, 231;-22,42844169;-45,44634794
VSANC142 ;Avenida Dr. Vicente Sanchesm 142;-22,42752032;-45,44696173
MV136 ;Rua Miguel Viana, 136;-22,4221165;-45,46092417
JPULI143 ;Rua João Pullit, 143;-22,42017487;-45,46104584
JPULI280 ;Rua João Pullit, 280;-22,41999862;-45,46137034
CTS500 ;Avenida Clemente Teodoro da Silva, 500;-22,41869729;-45,4628136
CTS501 ;Avenida Clemente Teodoro da Silva, 501;-22,4185955;-45,46295409
CTS387 ;Avenida Clemente Teodoro da Silva, 387;-22,41751081;-45,46340663
CTS555 ;Avenida Clemente Teodoro da Silva, 555;-22,41692857;-45,46472223
CTS556 ;Avenida Clemente Teodoro da Silva, 556;-22,41696065;-45,46459358
CTS988 ;Avenida Clemente Teodoro da Silva, 988;-22,4149726;-45,46800219
CTS1070 ;Avenida Clemente Teodoro da Silva, 1070;-22,41448468;-45,4687931
